"","X","stim","xpix","ypix"
"1",0,"bison_1",1023,612
"2",1,"bison_10",1024,630
"3",2,"bison_4",1024,692
"4",3,"bison_2",1024,682
"5",4,"bison_3",1024,748
"6",5,"bison_5",1024,736
"7",6,"bison_6",1024,371
"8",7,"bison_7",1024,699
"9",8,"bison_8",1024,767
"10",9,"bison_9",1023,471
"11",10,"hind_1",1024,666
"12",11,"hind_10",1024,627
"13",12,"hind_2",734,768
"14",13,"hind_3",774,768
"15",14,"hind_4",1024,672
"16",15,"hind_5",896,768
"17",16,"hind_6",1004,768
"18",17,"hind_7",619,768
"19",18,"hind_8",1024,667
"20",19,"hind_9",1024,698
"21",20,"horse_1",1024,627
"22",21,"horse_10",811,768
"23",22,"horse_2",1024,450
"24",23,"horse_3",1024,464
"25",24,"horse_4",1024,657
"26",25,"horse_5",1024,610
"27",26,"horse_6",739,768
"28",27,"horse_7",1024,506
"29",28,"horse_8",982,768
"30",29,"horse_9",1024,508
"31",30,"ibex_1",943,768
"32",31,"ibex_2",706,768
"33",32,"ibex_3",638,768
"34",33,"ibex_4",1024,576
"35",34,"ibex_5",1001,768
